asset_id,cityCode,catasto,sezione,foglio,particella,subalterno
a_1,A024,F,,3,203,3
a_2,L263,F,,6,202,2
a_3,L291,F,,66,418,
a_4,D315,F,,8,4049,1
a_5,D315,F,,8,4049,3
a_6,H819,F,,18,968,4
a_7,H819,F,,18,968,10
a_8,D628,F,,22,89,3
a_9,H211,F,,61,1927,4
a_10,H211,T,,61,1927,
a_11,D542,F,,13,251,12
a_12,F520,F,,31,100,6
a_13,G479,F,,4,621,1
a_14,G479,F,,4,621,15
a_15,I654,F,,15,31,
a_16,G453,F,,32,240,
a_17,G453,F,,32,247,
a_18,C060,F,,3,232,1
a_19,I608,F,,18,140,"1,2,3"
a_20,E838,F,,15,664,
a_21,E838,F,,15,665,null
a_22,E838,F,,15,657,2
a_23,C060,F,,1,588,5
a_24,A271,T,,14,149,6
a_25,L366,F,,29,75,5
a_26,L366,F,,29,75,5
a_27,L366,F,,29,75,3
a_28,D965,F,,57,901,1
a_29,G920,F,,2,89,1
a_30,A462,F,,55,297,4
a_31,F051,F,,19,763,7
a_32,F051,F,,19,763,5
a_33,F051,F,,19,763,3
a_34,A047,F,,10,138,2
a_35,G601,F,,25,252,
a_36,D451,F,,159,186,1
a_37,D451,F,,159,186,2
a_38,D451,F,,159,187,1
a_39,A125,F,,4,2905,50
a_40,F051,F,,54,90,3
a_41,F051,F,,54,90,4
a_42,H501,F,,978,1345,38
a_43,G803,F,,6,18,3
a_44,H721,F,,10,859,7
a_45,H721,F,,10,859,16
a_46,E900,F,,7,1484,14
a_47,G479,F,,57,516,2
a_48,G479,F,,57,322,7
a_49,F348,F,,10,621,2
a_50,A271,F,,11,29,8
a_51,A271,F,,11,29,2
a_52,L307,F,,18,660,336
a_53,L307,F,,18,660,343
a_54,D763,F,,9,1013,11
a_55,I156,F,,152,23,88
a_56,F419,F,,75,734,28
a_57,H501,F,,942,674,57
a_58,I201,F,,1,466,-
a_59,I444,F,Q,35,472,1
a_60,I444,F,Q,35,472,2
a_61,I779,F,,105,349,1
a_62,I779,F,,105,349,4
a_63,I444,F,Q,38,95,13
a_64,F634,F,,11,218,7
a_65,F634,F,,11,218,6
a_66,M331,F,A,1,451,12
a_67,G479,F,,4,441,1
a_68,C750,F,,37,718,21
a_69,C750,F,,37,718,20
a_70,C750,F,,37,718,14
a_71,C750,F,,37,718,14
a_72,C750,F,,37,718,20
a_73,C750,F,,37,718,21
a_74,H921,F,,2,740,5
a_75,H921,F,,2,740,6
a_76,D863,F,,25,1127,2
a_77,H274,F,,16,65,2
a_78,C351,F,,28,1122,5
a_79,B026,F,,23,167,da 4 a 6
a_80,B026,F,,23,167,2
a_81,G145,F,,20,875,
a_82,F401,F,,15,182,4
a_83,F401,F,,15,182,10
a_84,F401,F,,15,182,9
a_85,F745,F,,7,21,1
a_86,A271,F,,48,95,5
a_87,A271,F,,48,97,5
a_88,I608,F,,18,140,5
a_89,H501,F,,978,1345,16
a_90,D542,F,,42,196,8
a_91,D542,F,,42,79,1
a_92,D542,F,,42,79,3
a_93,D542,F,,42,79,4
a_94,D542,F,,42,79,5
a_95,D542,F,,42,79,2
a_96,L188,F,,2,819,24
a_97,F653,F,,9,285,1
a_98,F653,F,,9,285,1
a_99,F653,F,,,285,1
a_100,I324,F,,99999999,99999999,99999999